date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:06:22	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2017%20May%202023%2007:36:22%20GMT	https://creativelayers.net/robots.txt		(from )
13:06:23	314664/314664	---M-Z	200	added ('OK')	text/html	etag:%225fe1134-4cd28-5f6010a2255ca-gzip%22	https://creativelayers.net/themes/educrat-html/	D:/yogesh%20sir/training%20guru%20new/creativelayers.net/themes/educrat-html/index.html	(from )
13:06:23	59305/59305	---M-Z	200	added ('OK')	text/css	etag:%22613fa20b-3171%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.4/css/all.min.css	D:/yogesh%20sir/training%20guru%20new/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.4/css/all.min.css	(from https://creativelayers.net/themes/educrat-html/)
13:06:23	14272/14272	---MCZ	200	added ('OK')	text/css	etag:%2237c0-cW5oWHzFcgrzuKuBtMixbfPjmt4%22	https://unpkg.com/leaflet@1.7.1/dist/leaflet.css	D:/yogesh%20sir/training%20guru%20new/unpkg.com/leaflet@1.7.1/dist/leaflet.css	(from https://creativelayers.net/themes/educrat-html/)
13:06:24	131135/131135	---M-Z	200	added ('OK')	text/css	etag:%225fe1177-2003f-5f6010a63a4f4-gzip%22	https://creativelayers.net/themes/educrat-html/css/vendors.css	D:/yogesh%20sir/training%20guru%20new/creativelayers.net/themes/educrat-html/css/vendors.css	(from https://creativelayers.net/themes/educrat-html/)
13:06:24	280286/280286	---M-Z	200	added ('OK')	text/css	etag:%225fe1176-446de-5f6010a65d390-gzip%22	https://creativelayers.net/themes/educrat-html/css/main.css	D:/yogesh%20sir/training%20guru%20new/creativelayers.net/themes/educrat-html/css/main.css	(from https://creativelayers.net/themes/educrat-html/)
13:06:25	314664/314664	---M-Z	200	added ('OK')	text/html	etag:%225fe1134-4cd28-5f6010a2255ca-gzip%22	https://creativelayers.net/themes/educrat-html/index.html	D:/yogesh%20sir/training%20guru%20new/creativelayers.net/themes/educrat-html/index-2.html	(from https://creativelayers.net/themes/educrat-html/)
13:06:25	5717/5717	---M--	200	added ('OK')	image/svg+xml	etag:%225fe1adc-1655-5f6010befd175%22	https://creativelayers.net/themes/educrat-html/img/general/logo.svg	D:/yogesh%20sir/training%20guru%20new/creativelayers.net/themes/educrat-html/img/general/logo.svg	(from https://creativelayers.net/themes/educrat-html/)
13:06:25	141277/141277	---M-Z	200	added ('OK')	text/html	etag:%225fe110c-227dd-5f60109a8a893-gzip%22	https://creativelayers.net/themes/educrat-html/courses-single-1.html	D:/yogesh%20sir/training%20guru%20new/creativelayers.net/themes/educrat-html/courses-single-1.html	(from https://creativelayers.net/themes/educrat-html/)
13:06:25	141955/141955	---M-Z	200	added ('OK')	text/html	etag:%225fe110d-22a83-5f60109ad9653-gzip%22	https://creativelayers.net/themes/educrat-html/courses-single-2.html	D:/yogesh%20sir/training%20guru%20new/creativelayers.net/themes/educrat-html/courses-single-2.html	(from https://creativelayers.net/themes/educrat-html/)
13:06:26	141784/141784	---M-Z	200	added ('OK')	text/html	etag:%225fe110e-229d8-5f60109b05d47-gzip%22	https://creativelayers.net/themes/educrat-html/courses-single-3.html	D:/yogesh%20sir/training%20guru%20new/creativelayers.net/themes/educrat-html/courses-single-3.html	(from https://creativelayers.net/themes/educrat-html/)
13:06:26	143488/143488	---M-Z	200	added ('OK')	text/html	etag:%225fe110f-23080-5f60109b527df-gzip%22	https://creativelayers.net/themes/educrat-html/courses-single-4.html	D:/yogesh%20sir/training%20guru%20new/creativelayers.net/themes/educrat-html/courses-single-4.html	(from https://creativelayers.net/themes/educrat-html/)
13:06:26	139871/139871	---M-Z	200	added ('OK')	text/html	etag:%225fe1111-2225f-5f60109b81db4-gzip%22	https://creativelayers.net/themes/educrat-html/courses-single-5.html	D:/yogesh%20sir/training%20guru%20new/creativelayers.net/themes/educrat-html/courses-single-5.html	(from https://creativelayers.net/themes/educrat-html/)
